Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users
Talat,2008.0,2,3,33,8,207,"6,23",7813,2,517.0
Pirate Tricks,2019.0,3,5,45,8,50,"7,02",10037,2,114.0
Canterbury,2013.0,2,4,90,10,626,"6,96",2861,"3,09",968.0
Migration: Book II - A Saga of Conflict,2014.0,2,4,30,12,82,"7,07",8484,"2,44",198.0
Aeon's End: Outcasts,2020.0,1,4,60,14,347,"8,88",2146,"3,09",1624.0
Hermetica,2018.0,2,2,45,10,110,"7,68",6602,"2,67",224.0
Invaders,2013.0,2,2,60,12,341,"6,88",4330,"2,77",646.0
Bone Wars: The Game of Ruthless Paleontology,2005.0,2,4,45,10,76,"5,92",14544,"1,67",126.0
Star Wars: Destiny,2016.0,2,2,30,10,4591,"7,53",475,"2,28",7416.0
Take That,2016.0,2,4,20,8,201,"6,15",8633,"1,25",417.0
Las Vegas,2012.0,2,5,30,8,9242,"7,13",504,"1,19",11610.0
Rolled West,2019.0,2,4,30,14,261,"6,19",7397,"1,33",460.0
Big Monster,2018.0,2,6,30,10,299,"7,34",3933,2,540.0
Crossword Pyramids,2004.0,2,4,35,8,51,"6,40",12530,"2,13",119.0
Cronberg,2003.0,2,4,20,8,458,"5,97",7022,"1,91",578.0
